Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulde_x,LShoulde_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y
0.140365182,0.583722482,0.1558224,0.631754503,0.090129222,0.639759839,0.016707435,0.703802535,0.066943394,0.76784523,0.221515578,0.623749166,0.302665975,0.703802535,0.24856571,0.791861241,0.132636573,0.791861241,0.070807699,0.823882588,0.093993527,0.991994663,0.209922664,0.799866578,0.221515578,0.839893262,0.209922664,0.991994663,0.128772268,0.567711808,0.151958096,0.567711808,0.109450745,0.583722482,0.179008228,0.567711808
0.136500877,0.575717145,0.151958096,0.631754503,0.090129222,0.639759839,0.01284313,0.703802535,0.06307909,0.76784523,0.213786969,0.623749166,0.29880167,0.703802535,0.252430015,0.791861241,0.128772268,0.799866578,0.070807699,0.823882588,0.093993527,0.991994663,0.209922664,0.799866578,0.225379883,0.839893262,0.209922664,0.991994663,0.124907963,0.567711808,0.148093791,0.567711808,0.109450745,0.583722482,0.175143923,0.575717145
0.132636573,0.583722482,0.151958096,0.639759839,0.082400613,0.639759839,0.016707435,0.703802535,0.06307909,0.775850567,0.217651274,0.631754503,0.29880167,0.711807872,0.252430015,0.791861241,0.124907963,0.799866578,0.070807699,0.831887925,0.093993527,0.991994663,0.209922664,0.807871914,0.225379883,0.831887925,0.209922664,0.983989326,0.121043659,0.567711808,0.148093791,0.567711808,0.101722136,0.583722482,0.175143923,0.575717145
0.132636573,0.583722482,0.148093791,0.639759839,0.078536308,0.639759839,0.01284313,0.703802535,0.06307909,0.76784523,0.209922664,0.631754503,0.29880167,0.703802535,0.252430015,0.799866578,0.124907963,0.807871914,0.070807699,0.823882588,0.097857831,0.991994663,0.209922664,0.815877252,0,0,0,0,0.121043659,0.567711808,0.144229486,0.567711808,0.101722136,0.583722482,0.171279619,0.575717145
0.128772268,0.583722482,0.144229486,0.639759839,0.078536308,0.639759839,0.01284313,0.703802535,0.06307909,0.775850567,0.209922664,0.631754503,0.29880167,0.703802535,0.252430015,0.799866578,0.124907963,0.807871914,0.070807699,0.831887925,0.097857831,0.991994663,0.217651274,0.823882588,0,0,0,0,0.117179354,0.567711808,0.144229486,0.567711808,0.097857831,0.583722482,0.171279619,0.575717145
0.128772268,0.575717145,0.144229486,0.631754503,0.074672004,0.639759839,0.008978825,0.695797198,0.06307909,0.775850567,0.209922664,0.623749166,0.29880167,0.703802535,0.24856571,0.799866578,0.124907963,0.799866578,0.070807699,0.831887925,0.093993527,0.991994663,0.217651274,0.823882588,0,0,0,0,0.117179354,0.559706471,0.140365182,0.559706471,0.097857831,0.575717145,0.171279619,0.567711808
0.124907963,0.575717145,0.144229486,0.631754503,0.074672004,0.631754503,0.008978825,0.695797198,0.059214785,0.775850567,0.209922664,0.623749166,0.294937366,0.695797198,0.240837101,0.791861241,0.121043659,0.799866578,0.070807699,0.831887925,0.093993527,0.991994663,0.213786969,0.807871914,0.209922664,0.823882588,0.209922664,0.991994663,0.11331505,0.559706471,0.136500877,0.551701134,0.093993527,0.567711808,0.167415314,0.559706471
0.121043659,0.559706471,0.144229486,0.623749166,0.070807699,0.623749166,0.005114521,0.695797198,0.059214785,0.775850567,0.209922664,0.615743829,0.291073061,0.695797198,0.240837101,0.791861241,0.117179354,0.799866578,0.070807699,0.823882588,0.090129222,0.991994663,0.194465446,0.799866578,0.213786969,0.823882588,0.20605836,0.991994663,0.109450745,0.543695797,0.136500877,0.543695797,0.093993527,0.551701134,0.167415314,0.543695797
0.121043659,0.543695797,0.140365182,0.607738492,0.070807699,0.607738492,0.008978825,0.687791861,0.055350481,0.775850567,0.20605836,0.599733155,0.287208756,0.687791861,0.233108492,0.791861241,0.117179354,0.791861241,0.070807699,0.831887925,0.090129222,0.991994663,0.190601141,0.783855904,0.213786969,0.823882588,0.20605836,0.991994663,0.109450745,0.527685123,0.136500877,0.527685123,0.093993527,0.53569046,0.163551009,0.527685123
0.121043659,0.519679786,0.140365182,0.591727818,0.066943394,0.591727818,0.01284313,0.679786525,0.055350481,0.76784523,0.20605836,0.591727818,0.279480147,0.679786525,0.221515578,0.791861241,0.11331505,0.775850567,0.070807699,0.831887925,0.090129222,0.983989326,0.186736837,0.775850567,0.209922664,0.839893262,0.209922664,0.991994663,0.109450745,0.503669113,0.132636573,0.503669113,0.090129222,0.51167445,0.163551009,0.51167445
